,Underlying,Ticker,Type,Expiration,YTE,DTE,Strike,Last,Bid,Ask,Midpoint,Spread,IV,NPV,Delta,Gamma,Theta,AKA
0,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,40.0,43.6,36.65,39.8,38.224999999999994,3.1499999999999986,5.0742224072265625,39.799686174502135,0.9372485544887684,0.002963725066466767,-0.6128508843175878,AMD210326C00040000
1,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,45.0,35.55,32.05,34.75,33.4,2.700000000000003,2.0625048437499998,33.40084306741031,0.9963059749430838,0.0006533739283161682,-0.015889349680085357,AMD210326C00045000
2,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,50.0,30.2,26.5,30.1,28.3,3.6000000000000014,3.8955080737304693,30.10036212003622,0.9042798957405744,0.00531789497066738,-0.6656540714015622,AMD210326C00050000
3,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,55.0,25.6,21.6,25.05,23.325000000000003,3.4499999999999993,3.2285175537109367,25.050396589763803,0.8882255288278182,0.007180580021251256,-0.6222180276214286,AMD210326C00055000
4,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,60.0,19.9,16.6,20.1,18.35,3.5,2.6669955200195314,20.099424150166357,0.8636278201278,0.009991190555614217,-0.5985128339471186,AMD210326C00060000
5,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,62.0,16.8,14.65,18.2,16.425,3.549999999999999,1.0468797656250002,16.42443686894868,0.985887410133338,0.004185135027779642,-0.02984839594016393,AMD210326C00062000
6,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,65.0,13.53,11.75,15.0,13.375,3.25,2.053715803222656,15.000343902004087,0.8360047868127435,0.01467329430694046,-0.5271396454320582,AMD210326C00065000
7,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,67.0,13.14,10.65,12.35,11.5,1.6999999999999993,0.8789074609374999,11.50049109034627,0.9600368458392191,0.011942021876336846,-0.06724020265903698,AMD210326C00067000
8,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,68.0,10.5,8.85,12.05,10.45,3.200000000000001,0.73437765625,10.451052175229519,0.9703807322530232,0.011174817839145777,-0.042413652197614386,AMD210326C00068000
9,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,69.0,10.35,8.4,10.6,9.5,2.1999999999999993,0.7421900781249999,9.500677608234565,0.953467957781305,0.01599120210020559,-0.06518429502716293,AMD210326C00069000
10,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,70.0,8.8,6.85,10.2,8.524999999999999,3.3499999999999996,0.70117486328125,8.52525686849417,0.9426288986224457,0.019991384644773267,-0.07438698673038542,AMD210326C00070000
11,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,71.0,8.5,6.25,8.55,7.4,2.3000000000000007,1.2080117724609374,8.549219931339572,0.8010098146610103,0.028159644022162,-0.35371540675345436,AMD210326C00071000
12,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,72.0,6.25,5.5,7.55,6.525,2.05,0.56055126953125,6.525736592105399,0.9300615448351098,0.029174699681241693,-0.07077903460335143,AMD210326C00072000
13,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,73.0,5.78,4.75,6.45,5.6,1.7000000000000002,0.5449264257812501,5.599906894782209,0.8988650688191534,0.03957698227673653,-0.0943419028788773,AMD210326C00073000
14,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,74.0,4.6,4.1,5.15,4.625,1.0500000000000007,0.73437765625,5.1504093783103935,0.7841995002801038,0.04859637150782305,-0.2264465357629016,AMD210326C00074000
15,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,75.0,4.0,3.7,3.85,3.7750000000000004,0.1499999999999999,0.5097705273437501,3.8496660516907055,0.8030981223815903,0.06630628116945841,-0.14751100122910824,AMD210326C00075000
16,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,76.0,2.95,2.86,2.99,2.925,0.13000000000000034,0.4687553125,2.9898313697247527,0.7431053880823232,0.08381144839678037,-0.16109885146565964,AMD210326C00076000
17,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,77.0,2.2,2.14,2.24,2.1900000000000004,0.10000000000000009,0.4458063232421875,2.2398855876289936,0.656890492520673,0.10051690720289386,-0.17809326462841507,AMD210326C00077000
18,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,78.0,1.55,1.52,1.61,1.565,0.09000000000000008,0.432622861328125,1.6107689370421627,0.5517112627001658,0.1114413198333923,-0.1878396685461199,AMD210326C00078000
19,78.37999725341797,AMD,Call,2021-03-27,0.00821917808219178,3,79.0,1.08,1.04,1.11,1.0750000000000002,0.07000000000000006,0.42578699218750005,1.1110056615315658,0.4386278070495312,0.11283704536991333,-0.18394942618719584,AMD210326C00079000
